iter	Passed	Remaining
657	2772	1440
658	2776	1436
659	2780	1432
660	2784	1428
661	2789	1424
662	2793	1419
663	2797	1415
664	2801	1411
665	2806	1407
666	2810	1403
667	2814	1399
668	2818	1394
669	2822	1390
670	2827	1386
671	2831	1382
672	2835	1377
673	2839	1373
674	2844	1369
675	2848	1365
676	2852	1360
677	2856	1356
678	2861	1352
679	2865	1348
680	2868	1343
681	2873	1339
682	2877	1335
683	2880	1330
684	2884	1326
685	2888	1322
686	2892	1318
687	2896	1313
688	2901	1309
689	2904	1305
690	2909	1300
691	2913	1296
692	2917	1292
693	2922	1288
694	2926	1284
695	2930	1280
696	2934	1275
697	2938	1271
698	2943	1267
699	2947	1263
700	2951	1258
701	2955	1254
702	2960	1250
703	2965	1246
704	2969	1242
705	2973	1238
706	2978	1234
707	2982	1229
708	2986	1225
709	2990	1221
710	2994	1217
711	2998	1212
712	3002	1208
713	3006	1204
714	3010	1199
715	3014	1195
716	3018	1191
717	3022	1187
718	3026	1182
719	3031	1178
720	3035	1174
721	3039	1170
722	3043	1165
723	3047	1161
724	3051	1157
725	3055	1153
726	3060	1149
727	3064	1144
728	3067	1140
729	3071	1136
730	3076	1132
731	3080	1127
732	3085	1123
733	3088	1119
734	3093	1115
735	3096	1110
736	3100	1106
737	3104	1102
738	3108	1097
739	3112	1093
740	3116	1089
741	3120	1085
742	3124	1080
743	3129	1076
744	3133	1072
745	3137	1068
746	3141	1064
747	3146	1059
748	3150	1055
749	3154	1051
750	3158	1047
751	3162	1043
752	3166	1038
753	3171	1034
754	3175	1030
755	3179	1026
756	3184	1022
757	3189	1018
758	3192	1013
759	3196	1009
760	3200	1005
761	3205	1001
762	3209	996
763	3213	992
764	3217	988
765	3221	984
766	3226	980
767	3230	975
768	3234	971
769	3238	967
770	3242	963
771	3246	958
772	3250	954
773	3254	950
774	3259	946
775	3263	942
776	3267	937
777	3271	933
778	3275	929
779	3279	924
780	3283	920
781	3287	916
782	3290	912
783	3294	907
784	3298	903
785	3302	899
786	3306	895
787	3310	890
788	3314	886
789	3319	882
790	3323	878
791	3326	873
792	3330	869
793	3335	865
794	3341	861
795	3345	857
796	3349	853
797	3353	848
798	3357	844
799	3362	840
800	3365	836
801	3369	831
802	3373	827
803	3377	823
804	3382	819
805	3386	815
806	3389	810
807	3393	806
808	3398	802
809	3402	798
810	3405	793
811	3410	789
812	3414	785
813	3418	781
814	3422	776
815	3425	772
816	3429	768
817	3433	764
818	3437	759
819	3442	755
820	3446	751
821	3450	747
822	3455	743
823	3459	738
824	3462	734
825	3467	730
826	3471	726
827	3475	721
828	3479	717
829	3483	713
830	3487	709
831	3490	704
832	3494	700
833	3499	696
834	3503	692
835	3507	688
836	3511	683
837	3516	679
838	3520	675
839	3524	671
840	3527	666
841	3532	662
842	3536	658
843	3540	654
844	3544	650
845	3549	646
846	3553	641
847	3557	637
848	3561	633
849	3565	629
850	3569	624
851	3573	620
852	3576	616
853	3580	612
854	3585	607
855	3588	603
856	3593	599
857	3597	595
858	3601	591
859	3606	587
860	3609	582
861	3613	578
862	3617	574
863	3622	570
864	3626	565
865	3630	561
866	3634	557
867	3638	553
868	3642	549
869	3647	545
870	3652	540
871	3656	536
872	3660	532
873	3664	528
874	3668	524
875	3672	519
876	3676	515
877	3680	511
878	3684	507
879	3688	502
880	3693	498
881	3697	494
882	3701	490
883	3704	486
884	3708	481
885	3712	477
886	3716	473
887	3720	469
888	3724	465
889	3729	460
890	3733	456
891	3737	452
892	3741	448
893	3745	444
894	3749	439
895	3753	435
896	3757	431
897	3762	427
898	3766	423
899	3770	418
900	3774	414
901	3779	410
902	3783	406
903	3786	402
904	3791	397
905	3795	393
906	3799	389
907	3803	385
908	3807	381
909	3811	376
910	3816	372
911	3820	368
912	3823	364
913	3829	360
914	3833	356
915	3837	351
916	3842	347
917	3847	343
918	3851	339
919	3855	335
920	3859	331
921	3863	326
922	3867	322
923	3871	318
924	3875	314
925	3879	310
926	3883	305
927	3887	301
928	3891	297
929	3895	293
930	3900	289
931	3904	284
932	3908	280
933	3913	276
934	3916	272
935	3920	268
936	3924	263
937	3928	259
938	3932	255
939	3936	251
940	3940	247
941	3944	242
942	3949	238
943	3953	234
944	3957	230
945	3961	226
946	3966	221
947	3970	217
948	3973	213
949	3978	209
950	3982	205
951	3986	201
952	3990	196
953	3994	192
954	3998	188
955	4002	184
956	4006	180
957	4011	175
958	4015	171
959	4019	167
960	4023	163
961	4027	159
962	4031	154
963	4035	150
964	4039	146
965	4043	142
966	4047	138
967	4051	133
968	4055	129
969	4060	125
970	4064	121
971	4067	117
972	4072	113
973	4076	108
974	4080	104
975	4084	100
976	4088	96
977	4094	92
978	4098	87
979	4102	83
980	4107	79
981	4112	75
982	4115	71
983	4120	66
984	4124	62
985	4130	58
986	4134	54
987	4138	50
988	4142	46
989	4146	41
990	4149	37
991	4154	33
992	4158	29
993	4162	25
994	4166	20
995	4171	16
996	4175	12
997	4180	8
998	4184	4
999	4188	0
